timestamp,latitude,longitude,altitude,speed,heading,satellites,fix_quality,hdop,vdop,pdop
2026-09-11T12:00:00.000Z,28.613946,77.209111,215.0,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:01.000Z,28.613991,77.209223,215.1,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:02.000Z,28.614037,77.209334,215.2,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:03.000Z,28.614082,77.209445,215.3,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:04.000Z,28.614128,77.209556,215.4,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:05.000Z,28.614173,77.209668,215.5,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:06.000Z,28.614219,77.209779,215.6,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:07.000Z,28.614264,77.209890,215.7,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:08.000Z,28.614323,77.210002,215.8,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:09.000Z,28.614396,77.210113,215.9,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:10.000Z,28.614482,77.210224,216.0,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:11.000Z,28.614582,77.210335,216.1,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:12.000Z,28.614694,77.210447,216.2,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:13.000Z,28.614821,77.210558,216.3,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:14.000Z,28.614960,77.210669,216.4,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:15.000Z,28.615114,77.210781,216.5,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:16.000Z,28.615280,77.210892,216.6,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:17.000Z,28.615461,77.211003,216.7,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:18.000Z,28.615655,77.211115,216.8,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:19.000Z,28.615862,77.211226,216.9,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:20.000Z,28.616083,77.211337,217.0,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:21.000Z,28.616317,77.211448,217.1,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:22.000Z,28.616565,77.211560,217.2,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:23.000Z,28.616826,77.211671,217.3,12.00,65.0,10,1,0.90,1.30,1.60
2026-09-11T12:00:24.000Z,28.617101,77.211782,217.4,12.00,65.0,10,1,0.90,1.30,1.60
